basketball-v2/Iteration,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLAfter,basketball-v2/TerminationRate,GaussianMLPPolicy/Entropy,basketball-v2/AverageReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/MinReturn,Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,GaussianMLPPolicy/KLBefore,basketball-v2/MaxReturn,Average/NumEpisodes,MetaTest/basketball-v2/SuccessRate,basketball-v2/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/NumEpisodes,Iteration,MetaTest/Average/Iteration,MetaTest/basketball-v2/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,basketball-v2/MinReturn,Average/MaxReturn,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,TotalEnvSteps,basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/StdReturn,Average/SuccessRate,Average/Iteration,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/MinReturn
30,7.612501447888687,0.0005563653539866209,0.006451987661421299,0.0,5.519775390625,36.40713558724851,53.540777458129305,0.0,0.0,0.0,7.612501447888687,53.540777458129305,1.7361108243986936,83.45706554113958,53.54077745812931,83.45706554113958,0.0,942.8654263613947,200,0.0,0.0,0.0011598613345995545,50,30,30,30,112.51791063157764,0.0,1.7361108243986936,942.8654263613947,50,36.40713558724851,53.54077745812931,2.4103589363437252,6200000,200,0.0017162266885861754,112.51791063157764,0.0,30,547.4488938692307,547.4488938692307,2.4103589363437252
31,8.07177952873426,0.0005296536255627871,0.006503978278487921,0.0,5.492981910705566,43.00024422196977,30.38650561305446,0.0,0.0,0.0,8.07177952873426,30.38650561305446,1.7062318090042565,84.37159352747508,30.386505613054457,84.37159352747508,0.0,653.4172067028652,200,0.0,0.0,-0.0015576290898025036,50,31,31,31,23.378362811606603,0.0,1.7062318090042565,653.4172067028652,50,43.00024422196977,30.386505613054457,6.722888167117118,6400000,200,-0.0010279754642397165,23.378362811606603,0.0,31,162.30256810258308,162.30256810258308,6.722888167117118
32,8.28751745291818,0.0005856761708855629,0.0065292613580822945,0.0,5.551083087921143,46.166407094565535,36.44867528374005,0.0,0.0,0.0,8.28751745291818,36.44867528374005,2.526614891381353,107.43898502551764,36.44867528374004,107.43898502551764,0.0,857.460883752395,200,0.0,0.0,0.002502244431525469,50,32,32,32,43.35112008098514,0.0,2.526614891381353,857.460883752395,50,46.166407094565535,36.44867528374004,4.0862753687289235,6600000,200,0.0030879206024110317,43.35112008098514,0.0,32,255.96023314558877,255.96023314558877,4.0862753687289235
33,7.338541388218067,0.0008428109576925635,0.006469167768955231,0.0,5.53676700592041,29.96650088655109,35.3809968671893,0.0,0.0,0.0,7.338541388218067,35.3809968671893,2.8810431349083774,41.567717927618766,35.38099686718932,41.567717927618766,0.0,349.68604349291275,200,0.0,0.0,-0.0018978237640112638,50,33,33,33,62.55535353559252,0.0,2.8810431349083774,349.68604349291275,50,29.96650088655109,35.38099686718932,4.671631987296794,6800000,200,-0.0010550128063187003,62.55535353559252,0.0,33,364.70330966797735,364.70330966797735,4.671631987296794
34,8.326162694919896,0.00034446496283635497,0.006682783365249634,0.0,5.53277063369751,41.60964851864744,24.83373328239463,0.0,0.0,0.0,8.326162694919896,24.83373328239463,1.8715191232299153,81.00807700431722,24.833733282394633,81.00807700431722,0.0,645.5593014305457,200,0.0,0.0,-0.000523752358276397,50,34,34,34,23.33135326866296,0.0,1.8715191232299153,645.5593014305457,50,41.60964851864744,24.833733282394633,2.8346079670798527,7000000,200,-0.00017928739544004202,23.33135326866296,0.0,34,137.36253961951823,137.36253961951823,2.8346079670798527
35,8.014433160452386,0.00025970209389925003,0.006546657532453537,0.0,5.522475719451904,37.04071743620389,35.85977165640581,0.0,0.0,0.0,8.014433160452386,35.85977165640581,2.3044393301123276,76.85773883972935,35.85977165640581,76.85773883972935,0.0,648.2539283835391,200,0.0,0.0,-0.0012736307689920068,50,35,35,35,66.49515172693737,0.0,2.3044393301123276,648.2539283835391,50,37.04071743620389,35.85977165640581,3.4316359637572322,7200000,200,-0.0010139286750927567,66.49515172693737,0.0,35,448.8716129965779,448.8716129965779,3.4316359637572322
36,8.190642993600783,0.00034144148230552673,0.006460628006607294,0.0,5.561939239501953,42.82446018464521,37.063671375272826,0.0,0.0,0.0,8.190642993600783,37.063671375272826,4.6266375169822345,86.44444132324818,37.06367137527282,86.44444132324818,0.0,641.9523239799794,200,0.0,0.0,0.0011076885275542736,50,36,36,36,79.09073688524911,0.0,4.6266375169822345,641.9523239799794,50,42.82446018464521,37.06367137527282,4.24511502119375,7400000,200,0.0014491300098598003,79.09073688524911,0.0,36,579.3332785128205,579.3332785128205,4.24511502119375
37,8.60028859109334,0.0006971361181058455,0.006436613854020834,0.0,5.561345100402832,38.95780635095016,32.02531386858572,0.0,0.0,0.0,8.60028859109334,32.02531386858572,3.9525653947155717,86.31246218260998,32.02531386858573,86.31246218260998,0.0,901.7190686249171,200,0.0,0.0,-0.000649336667265743,50,37,37,37,37.547063275625334,0.0,3.9525653947155717,901.7190686249171,50,38.95780635095016,32.02531386858573,5.14628147006257,7600000,200,4.779945084010251e-05,37.547063275625334,0.0,37,222.40435914007017,222.40435914007017,5.14628147006257
38,7.738736736885549,0.00051971912762383,0.0064923884347081184,0.0,5.561000823974609,35.94715320273183,29.311375659470446,0.0,0.0,0.0,7.738736736885549,29.311375659470446,2.158018381870981,55.89590085477533,29.311375659470464,55.89590085477533,0.0,489.7805736568781,200,0.0,0.0,-0.0005655238637700677,50,38,38,38,35.95896505204053,0.0,2.158018381870981,489.7805736568781,50,35.94715320273183,29.311375659470464,3.835119044918789,7800000,200,-4.58047361462377e-05,35.95896505204053,0.0,38,183.6001020061056,183.6001020061056,3.835119044918789
39,9.139541424896441,0.0006102577317506075,0.006613417062908411,0.0,5.5104146003723145,46.16829117237918,62.00514978845584,0.0,0.0,0.0,9.139541424896441,62.00514978845584,4.531972998923426,92.4707110994952,62.00514978845584,92.4707110994952,0.0,764.2720008798806,200,0.0,0.0,-0.002386391395702958,50,39,39,39,115.28011757267902,0.0,4.531972998923426,764.2720008798806,50,46.16829117237918,62.00514978845584,6.735280461653584,8000000,200,-0.0017761336639523506,115.28011757267902,0.0,39,618.30588145205,618.30588145205,6.735280461653584
40,9.259547695987438,0.00045848551962990314,0.006465537007898092,0.0,5.511839866638184,49.453946343947656,40.43237704381927,0.0,0.0,0.0,9.259547695987438,40.43237704381927,5.086643987360135,87.78504822630212,40.432377043819265,87.78504822630212,0.0,648.9830141680432,200,0.0,0.0,-0.00033919166889972985,50,40,40,40,109.28173049742446,0.0,5.086643987360135,648.9830141680432,50,49.453946343947656,40.432377043819265,4.311166274037438,8200000,200,0.00011929385073017329,109.28173049742446,0.0,40,790.7514250694913,790.7514250694913,4.311166274037438
41,10.136521664363448,0.0006235952023416758,0.006725809536874294,0.0,5.479835510253906,50.66204784093479,65.36033173252343,0.0,0.0,0.0,10.136521664363448,65.36033173252343,2.3311989822038504,99.43329897957061,65.36033173252346,99.43329897957061,0.0,648.5538744078547,200,0.0,0.0,-0.0017284884816035628,50,41,41,41,132.59205407908615,0.0,2.3311989822038504,648.5538744078547,50,50.66204784093479,65.36033173252346,3.8333147045413734,8400000,200,-0.001104893279261887,132.59205407908615,0.0,41,586.3858010022766,586.3858010022766,3.8333147045413734
